1	111	小米手机	1999	#FASDADQ	0.9	手机	0.8
2	112	ThinkPad T460s	8888	ASDADWQW	0.97	笔记本电脑	0.9
3	123	统一阿萨姆	100	64363535352	0.8	奶茶	0.5
4	1232	统一阿萨姆2	1001	643635353522	0.81	奶茶	0.51
5	12322	统一阿萨姆22	1002	64363535352	0.82	奶茶	0.52
6	12322	统一阿萨姆1212	1001	64363535352	0.82	奶茶	0.52
7	123	统一阿萨姆22211	1001	64363535121352	0.8	奶茶	0.5
8	1232	统一1阿萨姆	1010	6436353125121352	0.8	奶茶	0.5
9	122132	统一阿12萨姆	100	64363531125121352	0.8	奶茶	0.5
10	2122	统一1阿萨1姆	10101	643635311125121352	0.8	奶茶	0.5
11	122132	统1一1阿萨1姆	1010	6436353111125121352	0.18	奶茶	0.512
